bookID,title,authors,isbn13,language_code,  num_pages,publication_date,publisher,in_stock,copyID,uID
41567,The Handmaid's Tale,Margaret Atwood,9780771008740,eng,368,9/19/2006,McClelland & Stewart,2,0,b41567c0
41567,The Handmaid's Tale,Margaret Atwood,9780771008740,eng,368,9/19/2006,McClelland & Stewart,2,1,b41567c1
3359,Angle of Repose,Wallace Stegner/Jackson J. Benson,9780141185477,eng,557,12/1/2000,Penguin Classics,2,0,b3359c0
3359,Angle of Repose,Wallace Stegner/Jackson J. Benson,9780141185477,eng,557,12/1/2000,Penguin Classics,2,1,b3359c1
11824,The Whipping Boy,Sid Fleischman/Peter Sís,9780060521226,eng,90,4/15/2003,Greenwillow Books,3,0,b11824c0
11824,The Whipping Boy,Sid Fleischman/Peter Sís,9780060521226,eng,90,4/15/2003,Greenwillow Books,3,1,b11824c1
11824,The Whipping Boy,Sid Fleischman/Peter Sís,9780060521226,eng,90,4/15/2003,Greenwillow Books,3,2,b11824c2
30968,Excursion to Tindari (Inspector Montalbano #5),Andrea Camilleri/Stephen Sartarelli,9780143034605,eng,304,2/1/2005,Penguin Books,2,0,b30968c0
30968,Excursion to Tindari (Inspector Montalbano #5),Andrea Camilleri/Stephen Sartarelli,9780143034605,eng,304,2/1/2005,Penguin Books,2,1,b30968c1
13836,Wild Magic (Immortals  #1),Tamora Pierce,9781416903437,eng,362,6/1/2005,Simon Pulse,3,0,b13836c0
13836,Wild Magic (Immortals  #1),Tamora Pierce,9781416903437,eng,362,6/1/2005,Simon Pulse,3,1,b13836c1
13836,Wild Magic (Immortals  #1),Tamora Pierce,9781416903437,eng,362,6/1/2005,Simon Pulse,3,2,b13836c2
34708,The Aviators (Brotherhood of War  #8),W.E.B. Griffin,9780515100532,eng,464,5/1/1989,G.P. Putnam's Sons,2,0,b34708c0
34708,The Aviators (Brotherhood of War  #8),W.E.B. Griffin,9780515100532,eng,464,5/1/1989,G.P. Putnam's Sons,2,1,b34708c1
39034,Dancing on My Grave,Gelsey Kirkland/Greg Lawrence,9780515094657,eng,363,11/1/1987,Jove,2,0,b39034c0
