bookID,title,authors,isbn13,language_code,  num_pages,publication_date,publisher,in_stock,copyID,uID
41684,The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,9780451529756,eng,368,5/3/2005,Signet Classics,3,0,b41684c0
41684,The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,9780451529756,eng,368,5/3/2005,Signet Classics,3,1,b41684c1
41684,The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,9780451529756,eng,368,5/3/2005,Signet Classics,3,2,b41684c2
28868,Prince Caspian (Chronicles of Narnia  #4),C.S. Lewis,9780061125256,eng,223,9/1/2006,HarperCollins Publishers,2,0,b28868c0
28868,Prince Caspian (Chronicles of Narnia  #4),C.S. Lewis,9780061125256,eng,223,9/1/2006,HarperCollins Publishers,2,1,b28868c1
22681,Line Of Vision,David Ellis,9780425183762,en-US,448,2/5/2002,G.P. Putnam's Sons,2,0,b22681c0
22681,Line Of Vision,David Ellis,9780425183762,en-US,448,2/5/2002,G.P. Putnam's Sons,2,1,b22681c1
17800,Dance Dance Dance,Haruki Murakami,9780099448761,eng,393,2/7/2002,Vintage,3,0,b17800c0
17800,Dance Dance Dance,Haruki Murakami,9780099448761,eng,393,2/7/2002,Vintage,3,1,b17800c1
17800,Dance Dance Dance,Haruki Murakami,9780099448761,eng,393,2/7/2002,Vintage,3,2,b17800c2
18261,The Nibelungenlied,Unknown/A.T. Hatto,9780140441376,eng,404,8/26/2004,Penguin Classics,2,0,b18261c0
18261,The Nibelungenlied,Unknown/A.T. Hatto,9780140441376,eng,404,8/26/2004,Penguin Classics,2,1,b18261c1
3302,El plan infinito,Isabel Allende,9780060951276,spa,336,5/14/2002,Harper Perennial,2,0,b3302c0
3302,El plan infinito,Isabel Allende,9780060951276,spa,336,5/14/2002,Harper Perennial,2,1,b3302c1
39989,Matilda Bone,Karen Cushman/Trina Schart Hyman,9780440418221,eng,176,3/12/2002,Yearling,2,0,b39989c0
39989,Matilda Bone,Karen Cushman/Trina Schart Hyman,9780440418221,eng,176,3/12/2002,Yearling,2,1,b39989c1
